Virtue,Clr 0; Drd 0; Pal 1, Transmutation/Water, , V S DF, 1 standard action, 1 min., Touch, Fortitude negates (harmless), Yes (harmless), Subject gains 1 temporary hp.
Summon Nature's Ally V,Drd 5, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Stinking Cloud,Sor/Wiz 3, Conjuration/Spirit/Water, , V S M, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), Fortitude negates; see text, No, Nauseating vapors; 1 round/level.
Teleport,Sor/Wiz 5; Travel 5, Conjuration/Spirit/Void/Water, , V, 1 standard action, Instantaneous, Personal and touch, None and Will negates (object), No and Yes (object), Instantly transports you as far as 100 miles/level.
Repel Wood,Drd 6; Plant 6, Transmutation/Water/Earth, , V S, 1 standard action, 1 min./level (D), 60 ft., None, No, Pushes away wooden objects.
Gaseous Form,Air 3; Brd 3; Sor/Wiz 3, Transmutation/Water/Air/Spirit, , S M/DF, 1 standard action, 2 min./level (D), Touch, None, No, Subject becomes insubstantial and cansfly slowly.
Regenerate,Clr 7; Drd 9; Healing 7, Conjuration/Spirit/Water, , V S DF, 3 full rounds, Instantaneous, Touch, Fortitude negates (harmless), Yes (harmless), Subject's severed limbs grow back;scures 4d8sdamage +1/level (max +35).
Stone Tell,Drd 6, Divination/Water/Earth, , V S DF, 10 minutes, 1 min./level, Personal, , , Talk to natural or worked stone.
Enlarge Person  Mass,Sor/Wiz 4, Transmutation/Water/Spirit, , , , , , , , Enlarges several creatures.
Resurrection,Clr 7, Conjuration/Earth/Spirit/Void/Air/Water, , , 10 minutes, , , , , Fully restore dead subject.
Mending,Adp 0; Brd 0; Clr 0; Drd 0; Sor/Wiz 0, Transmutation/Earth/Water/Air/Fire, , V S, 1 standard action, Instantaneous, 10 ft., Will negates (harmless object), Yes (harmless object), Makes minor repairs on an object.
Phantom Steed,Brd 3; Sor/Wiz 3, Conjuration/Water/Spirit/Air, , V S, 10 minutes, 1 hour/level (D), 0 ft., None, No, Magic horse appears for 1 hour/level.
Keen Edge,Sor/Wiz 3, Transmutation/Water/Earth/Spirit, , V S, 1 standard action, 10 min./level, Close (25 ft. + 5 ft./2 levels), Will negates (harmless object), Yes (harmless object), Doubles normal weapon's threat range.
Control Plants,Drd 8; Plant 8, Transmutation/Water/Fire/Earth, , V S DF, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), Will negates, No, Control actions of one or more plant creatures.
Spectral Hand,Sor/Wiz 2, Necromancy/Void/Air/Earth/Water/Spirit, , V S, 1 standard action, 1 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Creates disembodied glowing hand tosdeliverstouch attacks.
Longstrider,Drd 1; Rgr 1; Travel 1, Transmutation/Water, , V S M, 1 standard action, 1 hour/level (D), Personal, , , Increases your speed.
Whispering Wind,Brd 2; Sor/Wiz 2, Transmutation/Water/Void/Air, Air, V S, 1 standard action, No more than 1 hour/level or until discharged
      (destination is reached), 1 mile/level, None, No, Sends a short message 1 mile/level.
Mage's Private Sanctum,Sor/Wiz 5, Abjuration/Earth/Fire/Water/Spirit, , V S M, 10 minutes, 24 hours (D), Close (25 ft. + 5 ft./2 levels), None, No, Prevents anyone from viewing orsscrying ansarea for 24 hours.
Magic Vestment,Clr 3; Strength 3; War 3, Transmutation/Water, , V S DF, 1 standard action, 1 hour/level, Touch, Will negates (harmless object), Yes (harmless object), Armor or shield gains +1 enhancementspersfour levels.
Scrying  Greater,Brd 6; Clr 7; Drd 7; Sor/Wiz 7, Divination/Water/Void/Spirit, , V S, 1 standard action, 1 hour/level, , , , As scrying; but faster and longer.
Heroes' Feast,Brd 6; Clr 6, Conjuration/Spirit/Air/Water, Creation, V S DF, 10 minutes, 1 hour plus 12 hours; see text, Close (25 ft. + 5 ft./2 levels), None, No, Food for one creature/level cures andsgrantsscombat bonuses.
Find the Path,Brd 6; Clr 6; Drd 6; Knowledge 6; Travel 6, Divination/Water/Fire/Spirit, , V S F, 3 rounds, 10 min./level, Personal or touch, None or Will negates (harmless), No or Yes (harmless), Shows most direct way to a location.
Glibness,Asn 4; Brd 3, Transmutation/Water, , S, 1 standard action, 10 min./level (D), Personal, , , You gain +30 bonus on Bluff checks;sand yourslies can escape magical discernment.
Magic Jar,Sor/Wiz 5, Necromancy/Void/Air/Fire/Earth/Water/Spirit, , V S F, 1 standard action, 1 hour/level or until you return to your body, Medium (100 ft. + 10 ft./level), Will negates; see text, Yes, Enables possession of another creature.
Summon Nature's Ally VIII,Animal 8; Drd 8, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Jump,Asn 1; Drd 1; Rgr 1; Sor/Wiz 1, Transmutation/Water, , V S M, 1 standard action, 1 min./level (D), Touch, Will negates (harmless), Yes, Subject gets bonus on Jump checks.
Solid Fog,Sor/Wiz 4, Conjuration/Spirit/Earth/Water, , V S M, , 1 min./level, , , No, Blocks vision and slows movement.
Summon Nature's Ally IX,Drd 9, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls creature to fight.
Calm Animals,Animal 1; Drd 1; Rgr 1, Enchantment/Air/Water/Spirit, Mind-Affecting, V S, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), Will negates; see text, Yes, Calms (2d4 + level) HD of animals.
Diminish Plants,Drd 3; Rgr 3, Transmutation/Water/Earth, , V S DF, 1 standard action, Instantaneous, See text, None, No, Reduces size or blights growth ofsnormal plants.
Cure Moderate Wounds  Mass,Brd 6; Clr 6; Drd 7, Conjuration/Spirit/Water, , , , , , , , Cures 2d8 damage +1/level for many creatures.
Passwall,Sor/Wiz 5, Transmutation/Water/Earth/Spirit, , V S M, 1 standard action, 1 hour/level (D), Touch, None, No, Creates passage through wood or stone wall.
Identify,Brd 1; Magic 2; Sor/Wiz 1, Divination/Water, , V S M/DF, 1 hour, Instantaneous, Touch, None, No, Determines properties of magic item.
Antilife Shell,Animal 6; Clr 6; Drd 6, Abjuration/Earth/Water/Spirit, , V S DF, 1 round, 10 min./level (D), 10 ft., None, Yes, 10-ft.-radius field hedges out living creatures.
Goodberry,Drd 1, Transmutation/Water/Spirit, , V S DF, 1 standard action, One day/level, Touch, None, Yes, 2d4 berries each cure 1 hp (max 8shp/24 hours).
Message,Brd 0; Sor/Wiz 0, Transmutation/Water/Void/Earth, Language-Dependent, V S F, 1 standard action, 10 min./level, Medium (100 ft. + 10 ft./level), None, No, Whispered conversation at distance.
Incendiary Cloud,Fire 8; Sor/Wiz 8, Conjuration/Fire/Water/Spirit, Fire, V S, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), Reflex half; see text, No, Cloud deals 4d6 fire damage/round.
Raise Dead,Adp 5; Clr 5, Conjuration/Earth/Spirit/Void/Air/Water, , V S M DF, 1 minute, Instantaneous, Touch, None; see text, Yes (harmless), Restores life to subject who died asslong assone day/level ago.
Command Plants,Drd 4; Plant 4; Rgr 3, Transmutation/Water/Fire/Earth, , V, 1 standard action, One day/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Sway the actions of one or more plant creatures.
Flame Arrow,Sor/Wiz 3, Transmutation/Fire/Water/Earth, Fire, V S M, 1 standard action, 10 min./level, Close (25 ft. + 5 ft./2 levels), None, No, Arrows deal +1d6 fire damage.
Locate Creature,Asn 4; Brd 4; Sor/Wiz 4, Divination/Water, , V S M, , 10 min./level, , , , Indicates direction to familiar creature.
Shillelagh,Drd 1, Transmutation/Water/Earth, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (object), Yes  (object), Cudgel or quarterstaff becomes +1sweapons(1d10 damage) for 1 min./level.
Whirlwind,Air 8; Drd 8, Evocation/Fire/Water/Air, Air, V S DF, 1 standard action, 1 round/level (D), Long (400 ft. + 40 ft./level), Reflex negates; see text, Yes, Cyclone deals damage and can pick up creatures.
Statue,Sor/Wiz 7, Transmutation/Water/Earth/Spirit, , V S M, 1 round, 1 hour/level (D), Touch, Will negates (harmless), Yes (harmless), Subject can become a statue at will.
Acid Fog,Sor/Wiz 6; Water 7, Conjuration/Spirit/Water, Acid, V S M/DF, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), None, No, Fog deals acid damage.
Heat Metal,Drd 2; Sun 2, Transmutation/Fire/Water/Air/Earth/Spirit, Fire, V S DF, 1 standard action, 7 rounds, Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Make metal so hot it damages those whostouch it.
Heal,Adp 5; Clr 6; Drd 7; Healing 6, Conjuration/Spirit/Water, , V S, 1 standard action, Instantaneous, Touch, Will negates (harmless), Yes (harmless), Cures 10 points/level of damage; allsdiseases and mental conditions.
Fox's Cunning  Mass,Brd 6; Sor/Wiz 6, Transmutation/Water, , , , , Close (25 ft. + 5 ft./2 levels), , , As fox's cunning; affects one subject/ level.
Scrying,Brd 3; Clr 5; Drd 4; Sor/Wiz 4, Divination/Water/Void/Air/Spirit, , V S M/DF F, 1 hour, 1 min./level, See text, Will negates, Yes, Spies on subject from a distance.
Fabricate,Sor/Wiz 5, Transmutation/Water, , V S M, See text, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Transforms raw materials into finished items.
Produce Flame,Drd 1; Fire 2, Evocation/Fire/Water/Earth, Fire, V S, 1 standard action, 1 min./level (D), 0 ft., None, Yes, 1d6 damage +1/level; touch or thrown.
Summon Nature's Ally III,Drd 3; Rgr 3, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls animal to fight for you.
See Invisibility,Adp 2; Brd 3; Sor/Wiz 2, Divination/Air/Water/Spirit, , V S M, 1 standard action, 10 min./level (D), Personal, , , Reveals invisible creatures or objects.
Detect Evil,Adp 1; Clr 1, Divination/Water/Void/Earth/Spirit, , V S DF, 1 standard action, Concentration up to 10 min./ level (D), 60 ft., None, No, Sense the presence of evil.
Temporal Stasis,Sor/Wiz 8, Transmutation/Water/Spirit, , V S M, 1 standard action, Permanent, Touch, Fortitude negates, Yes, Puts subject into suspended animation.
Misdirection,Asn 3; Brd 2; Sor/Wiz 2, Illusion/Air/Water/Void, , V S, 1 standard action, 1 hour/level, Close (25 ft. + 5 ft./2 levels), None or Will negates; see text, No, Misleads divinations for one creaturesor object.
Maze,Sor/Wiz 8, Conjuration/Spirit/Water/Void, , V S, 1 standard action, See text, Close (25 ft. + 5 ft./2 levels), None, Yes, Traps subject in extradimensional maze.
Crushing Hand,Sor/Wiz 9; Strength 9, Evocation/Fire/Air/Earth/Water, Force, V S M F/DF, , , , , , Large hand provides cover; pushes; orscrushes your foes.
Nondetection,Asn 3; Rgr 4; Sor/Wiz 3; Trickery 3, Abjuration/Earth/Water/Air/Fire, , V S M, 1 standard action, 1 hour/level, Touch, Will negates (harmless object), Yes (harmless object), Hides subject from divination; scrying.
Discern Lies,Clr 4; Pal 3, Divination/Water, , V S DF, 1 standard action, Concentration up to 1 round/level, Close (25 ft. + 5 ft./2 levels), Will negates, No, Reveals deliberate falsehoods.
Entangle,Drd 1; Plant 1; Rgr 1, Transmutation/Water/Void/Air/Earth, , V S DF, 1 standard action, 1 min./level (D), Long (400 ft. + 40 ft./level), Reflex partial; see text, No, Plants entangle everyone ins40-ft.-radius circle.
Ironwood,Drd 6, Transmutation/Fire/Water/Earth/Spirit, , V S M, 1 minute/lb. created, One day/level (D), 0 ft., None, No, Magic wood is strong as steel.
Sending,Clr 4; Sor/Wiz 5, Evocation/Fire/Water, , V S M/DF, 10 minutes, 1 round; see text, See text, None, No, Delivers short message anywhere; instantly.
Polymorph,Adp 4; Sor/Wiz 4, Transmutation/Water/Spirit/Air/Fire/Earth, , V S M, 1 standard action, 1 min./level (D), Touch, None, No, Gives one willing subject a new form.
Wood Shape,Drd 2, Transmutation/Water, , V S DF, 1 standard action, Instantaneous, Touch, Will negates (object), Yes  (object), Rearranges wooden objects to suit you.
Commune,Adp 5; Clr 5, Divination/Water/Spirit, , V S M DF XP, 10 minutes, 1 round/level, Personal, , , Deity answers one yes-or-no question/level.
Animate Objects,Brd 6; Chaos 6; Clr 6, Transmutation/Water/Spirit, , V S, 1 standard action, 1 round/level, Medium (100 ft. + 10 ft./level), None, No, Objects attack your foes.
Detect Scrying,Brd 4; Sor/Wiz 4, Divination/Water/Fire, , V S M, 1 standard action, 24 hours, 40 ft., None, No, Alerts you of magical eavesdropping.
Comprehend Languages,Adp 1; Brd 1; Clr 1; Sor/Wiz 1, Divination/Water/Fire, , V S M/DF, 1 standard action, 10 min./level, Personal, , , You understand all spoken and written languages.
Grasping Hand,Sor/Wiz 7; Strength 7, Evocation/Fire/Air/Earth/Water, Force, V S F/DF, , , , , , Hand provides cover; pushes; or grapples.
Arcane Sight  Greater,Sor/Wiz 7, Divination/Water/Spirit, , , , , , , , As arcane sight; but also revealssmagicseffects on creatures and objects.
Know Direction,Brd 0; Drd 0, Divination/Water, , V S, 1 standard action, Instantaneous, Personal, , , You discern north.
True Seeing,Adp 5; Clr 5; Drd 7; Knowledge 5; Sor/Wiz 6, Divination/Air/Water/Void/Earth/Spirit, , V S M, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes (harmless), Lets you see all things as they really are.
Cure Critical Wounds,Adp 4; Blk 4; Brd 4; Clr 4; Drd 5; Healing 4, Conjuration/Spirit/Water, , , , , , , , Cures 4d8 damage +1/level (max +20).
Touch of Idiocy,Sor/Wiz 2, Enchantment/Air/Fire/Water, Mind-Affecting, V S, 1 standard action, 10 min./level, Touch, No, Yes, Subject takes 1d6 points of Int; Wis;sandsCha damage.
Polymorph Any Object,Sor/Wiz 8; Trickery 8, Transmutation/Water/Void/Air/Fire/Earth/Spirit, , V S M/DF, 1 standard action, See text, Close (25 ft. + 5 ft./2 levels), Fortitude negates (object); see text, Yes (object), Changes any subject into anything else.
Water Walk,Clr 3; Rgr 3, Transmutation/Water/Fire/Spirit, Water, V S DF, 1 standard action, 10 min./level (D), Touch, Will negates (harmless), Yes (harmless), Subject treads on water as if solid.
Guidance,Adp 0; Clr 0; Drd 0, Divination/Water, , V S, 1 standard action, 1 minute or until discharged, Touch, Will negates (harmless), Yes, +1 on one attack roll; saving throw;sorsskill check.
Rope Trick,Sor/Wiz 2, Transmutation/Water/Air, , V S M, 1 standard action, 1 hour/level (D), Touch, None, No, As many as eight creatures hide insextradimensional space.
Transmute Rock to Mud,Drd 5; Sor/Wiz 5, Transmutation/Fire/Water/Earth/Spirit, Earth, V S M/DF, 1 standard action, Permanent; see text, Medium (100 ft. + 10 ft./level), See text, No, Transforms two 10-ft. cubes per level.
Prismatic Wall,Sor/Wiz 8, Abjuration/Fire/Earth/Water/Spirit, , V S, 1 standard action, 10 min./level (D), Close (25 ft. + 5 ft./2 levels), See text, See text, Wall's colors have array of effects.
Summon Nature's Ally IV,Animal 4; Drd 4; Rgr 4, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , , , , , , , Calls animal to fight for you.
Create Water,Adp 0; Clr 0; Drd 0; Pal 1, Conjuration/Water/Spirit, Water, V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), None, No, Creates 2 gallons/level of pure water.
Feeblemind,Sor/Wiz 5, Enchantment/Air/Fire/Water, Mind-Affecting, V S M, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Will negates; see text, Yes, Subject's Int and Cha drop to 1.
Rage,Brd 2; Sor/Wiz 3, Enchantment/Air/Earth/Water, Mind-Affecting, V S, 1 standard action, Concentration + 1 round/level (D), Medium (100 ft. + 10 ft./level), None, Yes, Subjects gains +2 to Str and Con; +1son Will saves;
Speak with Plants,Brd 4; Drd 3; Rgr 2, Divination/Water/Fire/Earth, , V S, 1 standard action, 1 min./level, Personal, , , You can talk to normal plants andsplant creatures.
Hideous Laughter,Brd 1; Sor/Wiz 2, Enchantment/Air/Water/Spirit, Mind-Affecting, V S M, 1 standard action, 1 round/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Subject loses actions for 1 round/level.
Owl's Wisdom,Clr 2; Drd 2; Pal 2; Rgr 2; Sor/Wiz 2, Transmutation/Water/Air, , V S M/DF, 1 standard action, 1 min./level, Touch, Will negates (harmless), Yes, Subject gains +4 to Wis for 1 min./level.
Horrid Wilting,Sor/Wiz 8; Water 8, Necromancy/Water/Void/Earth/Spirit, , V S M/DF, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), Fortitude half, Yes, Deals 1d6/level damage within 30 ft.
Bless Water,Clr 1; Pal 1, Transmutation/Water/Spirit, Good, V S M, 1 minute, Instantaneous, Touch, Will negates (object), Yes  (object), Makes holy water.
Status,Clr 2, Divination/Water/Fire/Spirit, , V S, 1 standard action, 1 hour/level, Touch, Will negates (harmless), Yes (harmless), Monitors condition; position of allies.
Call Lightning,Drd 3, Evocation/Fire/Water/Air, Electricity, V S, 1 round, 1 min./level, Medium (100 ft. + 10 ft./level), Reflex half, Yes, Calls down lightning bolts (3d6 persbolt)sfrom sky.
Meld into Stone,Clr 3; Drd 3, Transmutation/Water/Fire/Earth/Spirit, Earth, V S DF, 1 standard action, 10 min./level, Personal, , , You and your gear merge with stone.
Bear's Endurance  Mass,Clr 6; Drd 6; Sor/Wiz 6, Transmutation/Water, , , , , Close (25 ft. + 5 ft./2 levels), , , As bear's endurance; affects one subject/level.
Disintegrate,Destruction 7; Sor/Wiz 6, Transmutation/Earth/Water/Spirit, , V S M/DF, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), Fortitude partial (object), Yes, Makes one creature or object vanish.
Arcane Eye,Sor/Wiz 4, Divination/Water/Void/Air, , V S M, 10 minutes, 1 min./level (D), Unlimited, None, No, Invisible floating eye moves 30 ft./round.
Haste,Brd 3; Sor/Wiz 3, Transmutation/Water/Air/Earth/Spirit, , V S M, 1 standard action, 1 round/level, Close (25 ft. + 5 ft./2 levels), Fortitude negates (harmless), Yes (harmless), One creature/level moves faster; +1 onsattack rolls; AC; and Reflex saves.
Locate Object,Brd 2; Clr 3; Sor/Wiz 2; Travel 2, Divination/Water, , V S F/DF, 1 standard action, 1 min./level, Long (400 ft. + 40 ft./level), None, No, Senses direction toward objects(specific or type).
Reduce Animal,Drd 2; Rgr 3, Transmutation/Water/Spirit, , V S, 1 standard action, 1 hour/level (D), Touch, None, No, Shrinks one willing animal.
Inflict Light Wounds  Mass,Clr 5; Destruction 5, Necromancy/Void/Fire/Water/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels), Will half, Yes, Deals 1d8 damage +1/level to any creatures.
